SCAN,FILE,SITELONG_DEG,SITELAT_DEG,SITEALT_M,OPERATOR,OBSID,PROJID,DAY,SCANNUM,OBJECT,RA_DEG,DEC_DEG,AZ_DEG,EL_DEG,PARANGLE_DEG,MJD,DATE,LST_SEC,EXPTIME,N_OBS,N_OBSP,OBSTYPE,SYSOFF,NASX_ARCSEC,NASY_ARCSEC,XOFFSET_ARCSEC,YOFFSET_ARCSEC,SWITCHMODE,FOCUSX_MM,FOCUSY_MM,FOCUSZ_MM,PRESSURE_HPA,TAMBIENT_C,REL_HUMIDITY_PERCENT,WINDVEL_MPERS,TIPTAU225GHZ,TAU1MM,TAU2MM,POWLAWAMP1MM,POWLAWAMP2MM,POWLAWEXPO1MM,POWLAWEXPO2MM,SKYNOI1MM0,SKYNOI1MM1,SKYNOI1MM2,SKYNOI1MM3,SKYNOI1MM4,SKYNOI1MM5,SKYNOI1MM6,SKYNOI1MM7,SKYNOI2MM0,SKYNOI2MM1,SKYNOI2MM2,SKYNOI2MM3,SKYNOI2MM4,SKYNOI2MM5,SKYNOI2MM6,SKYNOI2MM7,NEFD_TOI1MM,NEFD_MAP1MM,NEFD_TOI2MM,NEFD_MAP2MM,FLUX_1MM,ERR_FLUX_1MM,OFFSET_X_1MM,OFFSET_Y_1MM,FLUX_2MM,ERR_FLUX_2MM,OFFSET_X_2MM,OFFSET_Y_2MM,PIPELINEVERSION,DECORMETHOD,
20140220s0070,iram30m-antenna-20140220s70-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140220,      70,1253-055,       194.04654,      -5.7893597,      -155.69775,       44.104040,      -102.83647,       56708.180,2014-02-20T04:19:35.125,       50766.679,      79.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.70000,     -2.50000,totalPower,      0.00000,      0.00000,     -1.50000,      723.200,     -1.80000,      16.7000,      2.90000,     0.109801,     0.166192,       0,     0.242345,    0.0453227,     -1.21779,     -1.21806,      0.00000,      0.00000,      3.75052,      1.16820,      2.16539,     0.349796,     0.164091,     0.110393,      0.00000,      0.00000,     0.712110,     0.216154,     0.388795,    0.0635701,    0.0325775,    0.0211669,      31.2051,      657.318,      18.4560,      1543.04,      5712.53,      12.7989,      0.00000,      0.00000,      10914.2,      19.7161,      0.00000,      0.00000,V1cLiss7,COMMON_MODE_KIDS_OUT,
20140219s0055,iram30m-antenna-20140219s55-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140219,      55,1308+326,       197.61941,       32.345450,      -104.63989,       75.571602,      -93.372601,       56707.191,2014-02-19T04:34:43.250,       51440.742,      97.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,    -0.900000,     0.700000,totalPower,      0.00000,      0.00000,     -1.50000,      717.800,     -5.10000,      91.5000,      1.20000,     0.108539,     0.355991,       0,    0.0359074,   0.00658312,     -1.04696,     -1.19725,      0.00000,      0.00000,     0.377512,     0.124156,     0.184086,    0.0528739,    0.0399189,    0.0394709,      0.00000,      0.00000,     0.120572,    0.0348912,    0.0614351,    0.0106296,   0.00719150,   0.00942322,      27.8588,      63.9305,      8.57320,      80.9982,      330.484,      5.64218,      0.00000,      0.00000,      111.138,      2.51060,      0.00000,      0.00000,V1cLiss8,COMMON_MODE_KIDS_OUT,
20140222s0147,iram30m-antenna-20140222s147-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140222,     147,1633+382,       248.81452,       38.134562,      -80.425582,       75.491404,      -70.474994,       56710.329,2014-02-22T07:53:47.000,       64126.844,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.90000,      1.30000,totalPower,      0.00000,      0.00000,     -2.20000,      721.400,     -8.70000,      42.1000,      3.80000,     0.106756,    0.0922250,       0,    0.0613537,    0.0136316,     -1.24823,     -1.28260,      0.00000,      0.00000,      0.00000,     0.926133,     0.216684,     0.102499,    0.0526920,    0.0424785,      0.00000,      0.00000,      0.00000,     0.239042,    0.0520329,    0.0233934,    0.0119012,   0.00983179,      16.4620,      122.732,      8.72727,      240.601,      526.666,      2.61000,      0.00000,      0.00000,      718.904,      2.94311,      0.00000,      0.00000,V1cLiss10,COMMON_MODE_KIDS_OUT,
20140220s0060,iram30m-antenna-20140220s60-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,239-13  ,20140220,      60,1354+195,       209.26846,       19.318681,       145.16091,       69.097099,       131.05039,       56708.140,2014-02-20T03:21:38.750,       47280.786,      98.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -4.40000,     -1.10000,totalPower,      0.00000,      0.00000,     -1.58000,      723.300,     -2.60000,      25.1000,      3.50000,     0.231076,     0.191304,       0,     0.129133,    0.0366389,     -1.27925,     -1.28263,      0.00000,      0.00000,      1.88934,      2.71650,     0.912395,     0.192157,    0.0420482,    0.0353206,      0.00000,      0.00000,     0.534924,     0.788002,     0.269145,    0.0548860,    0.0100040,   0.00969862,      19.0479,      91.1579,      13.4529,      57.3307,      401.678,      1.80434,      0.00000,      0.00000,      588.281,      1.67504,      0.00000,      0.00000,V1cLiss0,COMMON_MODE_KIDS_OUT,
20140223s0139,iram30m-antenna-20140223s139-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,239-13  ,20140223,     139,1418+546,       214.94408,       54.387393,      -46.864966,       45.093780,      -35.656789,       56711.353,2014-02-23T08:28:57.000,       66479.176,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,    -0.400000,      1.70000,totalPower,      0.00000,      0.00000,     -2.10000,      720.500,      1.40000,      10.9000,      6.40000,    0.0739010,     0.105179,       0,    0.0149982,   0.00281202,    -0.865909,    -0.894035,      0.00000,      0.00000,      0.00000,    0.0828563,    0.0450288,    0.0203117,    0.0177220,    0.0173568,      0.00000,      0.00000,      0.00000,    0.0148085,   0.00875257,   0.00570948,   0.00273807,   0.00337006,      12.8946,      102.144,      6.48148,      180.890,      856.038,      4.17922,      0.00000,      0.00000,      1200.89,      4.70231,      0.00000,      0.00000,V1cLiss1,COMMON_MODE_KIDS_OUT,
20140221s0001,iram30m-antenna-20140221s1-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,240-13  ,20140221,       1,0851+202,       133.70365,       20.108492,      -138.03135,       68.426124,      -121.80399,       56709.005,2014-02-21T00:06:34.250,       35780.790,      97.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.10000,     -1.30000,totalPower,      0.00000,      0.00000,     -1.50000,      722.800,     -1.60000,      84.6000,      4.20000,     0.346253,     0.512164,       0,     0.163169,    0.0458234,     -1.18584,     -1.18402,      0.00000,      0.00000,      2.24733,      1.94004,     0.668805,     0.236307,     0.134270,    0.0896171,      0.00000,      0.00000,     0.618541,     0.548522,     0.188124,    0.0651529,    0.0370277,    0.0240462,      32.6050,      161.269,      10.1303,      301.305,      1488.10,      12.1151,      0.00000,      0.00000,      1973.33,      12.7748,      0.00000,      0.00000,V1cLiss0,COMMON_MODE_KIDS_OUT,
20140222s0285,iram30m-antenna-20140222s285-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,240-13  ,20140222,     285,1637+574,       249.55602,       57.339965,      -33.796891,       22.128067,      -28.760506,       56710.578,2014-02-22T13:52:49.250,       85728.075,      22.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -6.20000,      5.00000,totalPower,      0.00000,      0.00000,     -2.20000,      722.800,     -5.80000,      36.3000,      1.70000,    0.0425460,     0.114755,       0,    0.0935478,    0.0259060,     -1.17749,     -1.13817,      0.00000,      0.00000,      0.00000,      0.00000,     0.251315,     0.149670,    0.0932393,    0.0623195,      0.00000,      0.00000,      0.00000,      0.00000,    0.0762077,    0.0391078,    0.0233649,    0.0164549,      24.2422,      43.2996,      13.7538,      27.3518,      428.767,      1.73377,      0.00000,      0.00000,      468.396,      1.16523,      0.00000,      0.00000,V1cLiss5,COMMON_MODE_KIDS_OUT,
20140226s0265,iram30m-antenna-20140226s265-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,t21     ,20140226,     265,0224+671,       37.208606,       67.350867,      -11.576702,       58.326008,      -9.2833665,       56714.723,2014-02-26T17:21:09.375,       12808.653,      66.2500,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -15.5000,      3.90000,totalPower,      0.00000,      0.00000,     -2.00000,      722.900,     -8.90000,      100.000,      2.30000,     0.101126,     0.115403,       0,     0.402939,     0.123385,     -1.33070,     -1.31663,      0.00000,      0.00000,      0.00000,      6.85593,      5.15524,     0.366169,     0.149814,    0.0857998,      0.00000,      0.00000,      0.00000,      1.98287,      1.50609,     0.111088,    0.0473664,    0.0281453,      25.6213,      52.9781,      7.84130,      88.2944,      599.907,      4.20259,      0.00000,      0.00000,      988.667,      4.76090,      0.00000,      0.00000,V1cLiss1,COMMON_MODE_KIDS_OUT,
20140219s0291,iram30m-antenna-20140219s291-imb.fits,      -3.3987564,       37.068413,       2851.5000,NIKA    ,Anaelle ,t21     ,20140219,     291,0333+321,       54.125009,       32.307989,      -92.736224,       65.930631,      -75.202651,       56707.825,2014-02-19T19:47:30.500,       19957.940,      98.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,      2.30000,     -2.40000,totalPower,      0.00000,      0.00000,     -2.00000,      721.700,     -3.30000,      33.8000,      3.70000,    0.0921200,     0.135692,       0,     0.103009,    0.0300407,    -0.946845,    -0.954179,      0.00000,      0.00000,     0.308989,     0.654134,     0.320736,     0.136731,    0.0743944,    0.0522454,      0.00000,      0.00000,    0.0944383,     0.195378,    0.0933366,    0.0385730,    0.0218285,    0.0147221,      15.0242,      30.6621,      6.60828,      54.3708,      267.759,      4.41890,      0.00000,      0.00000,      459.933,      4.21679,      0.00000,      0.00000,V1cLiss3,COMMON_MODE_KIDS_OUT,
20140224s0022,iram30m-antenna-20140224s22-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,t21     ,20140224,      22,0355+508,       59.873943,       50.963953,      -49.265090,       36.437593,      -37.285834,       56712.956,2014-02-24T22:57:09.125,       32550.483,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -7.00000,      1.00000,totalPower,      0.00000,      0.00000,     -1.50000,      719.100,     -9.10000,      100.000,      1.00000,   0.00498000,     0.267954,       0,    0.0910667,    0.0234066,     -1.10443,     -1.11369,      0.00000,      0.00000,      0.00000,     0.965705,     0.398106,     0.117592,    0.0602676,    0.0487203,      0.00000,      0.00000,      0.00000,     0.248120,     0.114289,    0.0299775,    0.0167407,    0.0137165,      22.7066,      106.029,      9.26689,      258.468,      1023.65,      4.26237,      0.00000,      0.00000,      1109.27,      4.44241,      0.00000,      0.00000,V1cLiss4,COMMON_MODE_KIDS_OUT,
20140227s0156,iram30m-antenna-20140227s156-imb.fits,      -3.3987564,       37.068413,       2851.5000,NIKA    ,NIKA    ,t21     ,20140227,     156,1641+399,       250.74500,       39.810266,      -69.420886,       49.185484,      -50.964639,       56715.416,2014-02-27T09:59:16.625,       72859.868,      68.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -11.8000,      3.00000,totalPower,      0.00000,      0.00000,     -1.50000,      726.500,     -5.30000,      69.4000,      2.90000,     0.562494,     0.690928,       0,     0.627324,     0.288410,     -1.18165,     -1.18443,      0.00000,      0.00000,      0.00000,      6.83159,      3.70006,     0.915820,     0.400695,     0.256973,      0.00000,      0.00000,      0.00000,      3.22333,      1.70844,     0.433201,     0.176947,     0.109697,      64.0240,      114.895,      20.1874,      223.416,      1026.81,      12.1587,      0.00000,      0.00000,      2017.40,      12.1549,      0.00000,      0.00000,V1cLiss14,COMMON_MODE_KIDS_OUT,
20140220s0145,iram30m-antenna-20140220s145-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,t21     ,20140220,     145,1757-240,       270.12678,      -24.067076,      -178.71255,       28.833370,      -7.1736253,       56708.347,2014-02-20T08:19:12.500,       65183.417,      79.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,      1.80000,     -1.90000,totalPower,      0.00000,      0.00000,     -2.60000,      724.000,    -0.800000,      10.2000,      3.50000,     0.154718,     0.201454,       0,     0.642932,     0.149549,    -0.922483,    -0.921487,      0.00000,      0.00000,      2.74022,      2.00541,      1.82561,     0.978734,     0.515532,     0.319313,      0.00000,      0.00000,     0.634344,     0.471504,     0.423775,     0.228631,     0.118927,    0.0745215,      34.7481,      927.952,      20.8316,      801.110,      9776.80,      87.9305,      0.00000,      0.00000,      6696.07,      48.6246,      0.00000,      0.00000,V1cLiss16,COMMON_MODE_KIDS_OUT,
20140219s0004,iram30m-antenna-20140219s4-imb.fits,      -3.3987564,       37.068413,       2851.5000,NIKA    ,NIKA    ,t21     ,20140219,       4,3C273,       187.27792,       2.0523889,       126.56238,       40.831158,       77.325900,       56707.013,2014-02-19T00:18:17.875,       36013.243,      80.1250,       1,       1,Lissajous,Nasmyth        ,     -45.0000,     -36.0000,      0.00000,      0.00000,totalPower,      0.00000,      0.00000,     -1.50000,      716.600,     -5.80000,      100.000,      2.20000,     0.179257,     0.424405,       0,    0.0548954,    0.0123798,     -1.08189,     -1.15508,      0.00000,      0.00000,     0.464921,     0.332161,     0.172762,    0.0692811,    0.0615976,    0.0564295,      0.00000,      0.00000,     0.126337,    0.0899881,    0.0620028,    0.0172264,   0.00985233,   0.00813851,      38.2008,      107.593,      16.8826,      203.841,      382.211,      6.67412,      0.00000,      0.00000,      693.383,      8.66598,      0.00000,      0.00000,V1cLiss18,COMMON_MODE_KIDS_OUT,
20140219s0162,iram30m-antenna-20140219s162-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,t21     ,20140219,     162,3C454.3,       343.49042,       16.148333,       92.928789,       31.416540,       58.277201,       56707.376,2014-02-19T09:01:06.875,       67468.129,      80.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,      0.00000,      0.00000,totalPower,      0.00000,      0.00000,     -2.10000,      719.100,     -6.50000,      76.9000,      3.20000,   0.00157500,     0.168262,       0,     0.255970,    0.0821430,    -0.993063,     -1.01043,      0.00000,      0.00000,      1.00990,      1.21687,      3.13991,     0.297568,     0.167271,     0.106791,      0.00000,      0.00000,     0.384927,     0.409239,     0.876011,    0.0984494,    0.0546172,    0.0336605,      40.0256,      452.960,      23.1037,      759.952,      4230.57,      37.1131,      0.00000,      0.00000,      6643.74,      44.4662,      0.00000,      0.00000,V1cLiss19,COMMON_MODE_KIDS_OUT,
20140227s0130,iram30m-antenna-20140227s130-imb.fits,      -3.3987564,       37.068413,       2851.5000,NIKA    ,NIKA    ,t21     ,20140227,     130,NGC7027,       316.75664,       42.236162,       67.838932,       59.955413,       52.722877,       56715.345,2014-02-27T08:17:21.625,       66728.126,      308.000,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -12.7000,    -0.300000,totalPower,      0.00000,      0.00000,     -1.50000,      726.300,     -5.80000,      46.3000,      4.30000,      1.01073,     0.834380,       0,      1.71513,     0.846400,     -1.18280,     -1.16947,      0.00000,      38.9263,      43.8259,      25.7857,      12.1577,      2.56374,     0.627254,     0.376936,      0.00000,      17.1561,      20.9483,      12.5402,      5.77847,      1.26291,     0.310778,     0.186451,      373.060,      440.863,      87.3086,      265.195,      2739.28,      18.2090,      0.00000,      0.00000,      3540.86,      14.6736,      0.00000,      0.00000,V1cLiss31,COMMON_MODE_KIDS_OUT,
20140219s0171,iram30m-antenna-20140219s171-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,t21     ,20140219,     171,W3OH,       36.766104,       61.873564,       29.887543,       25.159787,       25.310171,       56707.402,2014-02-19T09:38:24.375,       69711.755,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,      2.00000,     -5.50000,totalPower,      0.00000,      0.00000,     -1.20000,      719.700,     -6.10000,      65.6000,      1.80000,    0.0611090,     0.169918,       0,     0.121169,    0.0298945,     -1.24757,     -1.26902,      0.00000,      4.28783,      5.03937,      1.85862,     0.563298,     0.116549,    0.0663382,    0.0543202,      0.00000,      1.17763,      1.37726,     0.500008,     0.148344,    0.0268496,    0.0130679,    0.0106773,      59.6266,      1680.79,      15.7223,      1096.96,      2484.00,      20.1793,      0.00000,      0.00000,      1277.97,      8.29441,      0.00000,      0.00000,V1cLiss35,COMMON_MODE_KIDS_OUT,
